employee_id,first_name,last_name,department_id,hire_date,salary,position
1,Jonathan,Diaz,1,2022-12-18,129459.86,Analyst
2,Joseph,Tran,2,2019-12-24,126888.42,Engineer
3,Ronald,Baxter,2,2020-06-24,90285.08,Analyst
4,Kenneth,Prince,5,2016-11-16,124980.24,Manager
5,Wayne,Garza,2,2015-12-05,119470.36,Manager
6,Scott,Boyle,5,2021-05-04,137731.74,Salesperson
7,Tammy,Bright,2,2015-05-07,95469.56,Analyst
8,Drew,Andrews,3,2017-06-22,98804.45,Engineer
9,Lisa,Gonzalez,5,2018-04-11,108195.55,Manager
10,Daniel,Hernandez,4,2015-05-14,136890.78,Salesperson
11,Yolanda,Smith,4,2018-01-30,134716.73,Salesperson
12,Steven,Becker,2,2017-07-09,59314.17,Engineer
13,Michael,Perez,4,2021-01-11,147215.03,Manager
14,Donna,Smith,2,2018-03-28,113484.05,Salesperson
15,Joel,Hines,2,2016-11-19,119728.9,Engineer
16,Sarah,Phelps,4,2020-02-17,135010.62,Engineer
17,Lisa,Callahan,4,2021-05-05,129567.79,Analyst
18,Kevin,Ochoa,1,2020-07-21,89771.59,Analyst
19,Susan,Peterson,5,2021-03-01,146812.86,Manager
20,Alexis,Aguirre,2,2020-09-23,132484.76,Salesperson
21,Misty,Poole,4,2016-04-08,99471.49,Salesperson
22,Melinda,Morris,5,2021-06-03,82286.51,Analyst
23,Haley,Hayes,4,2016-04-12,78359.31,Manager
24,Corey,Gonzalez,4,2018-01-02,104731.05,Salesperson
25,Justin,Mckinney,1,2021-02-02,63059.43,Engineer
26,Erik,Saunders,2,2019-02-11,135242.26,Engineer
27,Christopher,Cox,2,2021-01-29,128830.37,Engineer
28,Cole,Ryan,3,2015-06-20,139415.47,Engineer
29,James,Nielsen,1,2019-12-13,126225.4,Analyst
30,Jackson,Garcia,5,2021-02-15,54594.29,Manager
31,Willie,Brown,1,2017-06-14,112617.95,Engineer
32,Carol,Bradley,5,2019-10-08,133670.22,Engineer
33,Ryan,Patrick,2,2016-02-24,51628.14,Salesperson
34,Nicole,Brewer,3,2022-05-01,142943.29,Analyst
35,Daniel,Newman,3,2017-10-10,65798.35,Salesperson
36,Ralph,Phillips,2,2018-05-04,95651.81,Salesperson
37,Holly,Schultz,4,2015-05-13,149183.82,Salesperson
38,Devon,Klein,1,2020-01-17,92779.93,Engineer
39,Amy,Whitehead,3,2017-12-12,149569.41,Manager
40,Michael,Kelley,4,2018-11-28,140940.72,Analyst
41,Danielle,Miles,5,2015-12-23,138214.78,Engineer
42,Jose,Rose,3,2019-12-04,80186.55,Analyst
43,Micheal,Miller,5,2016-04-25,137442.34,Engineer
44,Christopher,Bell,4,2017-08-28,137659.5,Manager
45,Stephanie,Young,5,2017-05-09,59334.0,Manager
46,Deborah,Douglas,4,2021-08-05,86043.54,Analyst
47,Martin,King,5,2022-09-23,58242.05,Salesperson
48,Mike,Orozco,1,2018-12-07,116450.88,Engineer
49,Alexis,Gonzalez,3,2022-12-21,114891.12,Analyst
50,Lauren,Martin,3,2021-11-04,55178.73,Salesperson
51,Jennifer,Velazquez,4,2022-02-04,112560.43,Manager
52,David,Morales,5,2019-10-20,122598.84,Engineer
53,Stacey,Bauer,2,2016-11-10,125523.22,Manager
